row_id,assoc_id,evidence_level,source_url_override,evidence_detail,url_fix_reason
66,assoc_0066,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Brazil, Rondonia, ssp. acreana) via Beccaloni; exact species S. grandiflorum named. Catalogue-mediated with no embedded rearing text, so literature not direct despite species-level ID. Medium holds. Solanaceae.",
75,assoc_0075,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Costa Rica, ssp. relata) via Beccaloni. Dircenna olyras on Solanum canonical; 'nr rugosum' provisional. Literature/medium holds. Solanaceae.",
80,assoc_0080,literature,,"Needs-check reference audit (2026-06): Verified against host_plant_associations.json L2701-2730. Dryas iulia is a Heliconiine (Nymphalidae: Heliconiinae), NOT an Ithomiini, so the passifloraceae-atypical-for-ithomiini flag does NOT apply: Passiflora is the canonical, textbook la",
81,assoc_0081,literature,,"Needs-check reference audit (2026-06): Dryas iulia is a Heliconiine, NOT Ithomiini, and Passiflora is its canonical correct host; the passifloraceae-atypical-for-ithomiini flag does NOT apply here. Record carries closed marker and is sourced to legitimate published lit (Hayward ",
82,assoc_0082,literature,,"Needs-check reference audit (2026-06): Confirmed: Dryas iulia is a heliconiine (Heliconiinae), NOT Ithomiini, so Passiflora is its correct hallmark host and the passifloraceae-atypical-for-ithomiini flag does NOT apply. Record is a Beccaloni 2008 catalogue row with Brown 1992a (",
91,assoc_0091,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Dryas iulia on Passiflora capsularis (Passifloraceae) is canonical, in-scope heliconiine biology (Rule 1). Cites Benson et al. 1976, the foundational Heliconius-Passiflora study named in Rule 4 as authoritative. The open-circle ma",
117,assoc_0117,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Dryas iulia on Passiflora quadrangularis: correct heliconiine-Passiflora biology, Benson et al. 1976 (authoritative per Rule 4). Open-circle on a real foundational source = literature. Stays literature/medium; not promoted to dire",
142,assoc_0142,literature,,"Needs-check reference audit (2026-06): Episcada (Ithomiini) on Solanum sect. Geminata is squarely within Solanaceae host norms; no atypicality. Beccaloni 2008 catalogue row with Brown 1992a (ssp. striposis) embedded but not independently checked, so catalogue-level literature is",
159,assoc_0159,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Brazil, RJ, ssp. hymenaea) via Beccaloni; row marked 'plausible' (not dubious). Host is 'Solanum sp.?' (queried), so identity uncertain even at genus, hence low confidence. Literature is defensible since it traces to real D&B sour",
185,assoc_0185,direct,,"Re-audit 2026-06-16 (corrected scope/captive rules): source_refs = '[Brown & Freitas, 1994 (Ovip.; Captive)]' — a real, authoritative PUBLISHED primary source (not p.c.) explicitly reporting an OBSERVED captive OVIPOSITION event. Under corrected rule 2, an observed captive ovipositi",
191,assoc_0191,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Venezuela, ssp. kedema) via Beccaloni; row 'plausible'. Godyris on Solanum canonical; 'nr ripense' provisional. Catalogue-mediated, no rearing text, literature not direct. Medium holds. Solanaceae.",
192,assoc_0192,literature,,"Needs-check reference audit (2026-06): Multi-source row: D&B 1987 (Brazil), Beccaloni 1995 (Ecuador), and a Mallet p.c. 1986 oviposition record (Peru, 'Ovip.; RC: 86-17'). The oviposition is on the Peru row, not the D&B Brazil row, so first-pass slightly conflates rows, but Gody",
194,assoc_0194,literature,,Needs-check reference audit (2026-06): Godyris on Cestrum (Solanaceae) taxonomically typical; embedded Haber p.c. 1998 (Ovip.) oviposition records (Costa Rica) within plausible-marked catalogue row support catalogue-level 'literature'. p.c. is unpublished so not 'direct'; host i,
196,assoc_0196,literature,,"Needs-check reference audit (2026-06): Verdict holds. Godyris zavaleta (Ithomiini) on Solanum sp. (sect. Geminata), Solanaceae is canonical for the tribe; no Passifloraceae concern. The row is a Beccaloni et al. 2008 catalogue record (source_citation and citation_for_ui both = B",
203,assoc_0203,literature,,"Needs-check reference audit (2026-06): D&B 1987 (Venezuela, ssp. andromica) via Beccaloni; row 'plausible'. Greta on Solanum canonical; 'nr ripense' provisional. Literature/medium holds. Solanaceae, not Passifloraceae.",
214,assoc_0214,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): source_refs = '[Hall, 1996 (Captive) (ssp. oto)]'. Hall 1996 is a real published source (not a personal communication), and Cestrum is a legitimate Solanaceae host (rule 5), so needs_check is not warranted. However the entry marks",
218,assoc_0218,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Identical pattern to assoc_0214: '[Hall, 1996 (Captive)]', Cestrum nocturnum, legitimate Solanaceae (rule 5). Published source, so not needs_check; but '(Captive)' with no observed-event verb means literature, not direct (rule 2).",
231,assoc_0231,literature,,"Needs-check reference audit (2026-06): Heliconius erato is a HELICONIINI, not an Ithomiini, so this row is out-of-scope contamination in an Ithomiini host-plant DB. Biologically the erato-on-Passiflora (Passifloraceae) pairing is canonical and is backed by real published sources",
232,assoc_0232,literature,,"Needs-check reference audit (2026-06): Confirmed at /home/franz/Documents/CodeProjs/ithomiini_maps/public/data/host_plants/host_plant_associations.json line 7475. Heliconius erato is HELICONIINAE, not Ithomiini, so the passifloraceae-atypical-for-ithomiini flag correctly does NO",
236,assoc_0236,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius erato on Passiflora auriculata: canonical in-scope host, Benson et al. 1976. Open-circle plus authoritative source = literature per Rule 4. Justified; no over-promotion to direct.",
244,assoc_0244,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius erato on Passiflora coriacea: correct heliconiine biology, Benson et al. 1976. Open-circle on foundational source = literature. Justified at literature/medium.",
261,assoc_0261,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius erato on Passiflora morifolia: canonical host, Benson et al. 1976. Open-circle on authoritative source = literature (Rule 4). No basis for direct; catalogue record only.",
287,assoc_0287,literature,,"Needs-check reference audit (2026-06): Heliconius on Passiflora = correct host. Plausible marker; source Mallet p.c. 1986 (Ovip.; RC:86-15) - oviposition is real host-use but a personal communication, not a verifiable published primary, so not upgraded to direct; catalogue-relay",
293,assoc_0293,literature,,"Needs-check reference audit (2026-06): Heliconius numata is a HELICONIINE; Passiflora sp. is its correct host but the taxon is out-of-scope for an Ithomiini dataset. Row is plausible-marked (filled circle), Silva et al. 1968 (Brazil, DF), genus-only - a legitimately published ca",
294,assoc_0294,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius numata on Passiflora (genus only) per Lamas 1985. Correct family biology, in-scope heliconiine. Lamas 1985 is a real, traceable authoritative Neotropical source, so not needs_check (Rule 3a not met). Genus-only host res",
296,assoc_0296,literature,,"Needs-check reference audit (2026-06): Heliconius (heliconiine) on Passiflora = correct host, not an Ithomiini anomaly. Beccaloni plausible marker (filled circle), primary Benson et al. 1976 (real published source), catalogue-relayed = literature, not direct. 'nr acuminata' caps",
299,assoc_0299,literature,,"Needs-check reference audit (2026-06): Heliconius on Passiflora = correct host. Plausible marker; source is Mallet p.c. 1982 (RC:590), a personal-communication rearing-collection record - not a traceable published primary, so not direct; relayed via peer-reviewed Beccaloni catal",
301,assoc_0301,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius numata on Passiflora bahiensis: canonical host, Benson et al. 1976. Open-circle on foundational source = literature per Rule 4. Justified; no over-promotion to direct.",
316,assoc_0316,literature,,"Needs-check reference audit (2026-06): Heliconius on Passiflora = correct host. Plausible marker, Benson et al. 1976 (real source), catalogue-relayed = literature. 'nr nitida' precludes species-level confidence. First-pass holds.",
318,assoc_0318,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius numata on Passiflora oerstedii: correct heliconiine-Passiflora biology, Benson et al. 1976. Open-circle on authoritative source = literature. Original audit conf was low; medium is equally defensible for an authoritativ",
322,assoc_0322,literature,,"Needs-check reference audit (2026-06): Heliconius on Passiflora = correct host. Plausible marker, Benson et al. 1976 SW Brazil, catalogue-relayed = literature. 'nr riparia' caps to genus-level. First-pass holds.",
327,assoc_0327,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius numata on Passiflora vitifolia: canonical host (a well-known Heliconius host), Benson et al. 1976. Open-circle on foundational source = literature. Accepted at literature/medium; catalogue record, not direct.",
330,assoc_0330,literature,,"Needs-check reference audit (2026-06): Verified against host_plant_associations.json line 10513-10542. Heliconius sara is a HELICONIINAE, not Ithomiini; Passiflora (Passifloraceae) is its canonical host, so the passifloraceae-atypical-for-ithomiini flag does NOT apply and there ",
331,assoc_0331,literature,,"Needs-check reference audit (2026-06): Heliconius sara is a heliconiine (Heliconiinae), NOT Ithomiini, and Passiflora is its canonical, taxonomically expected larval host. The passifloraceae-atypical-for-ithomiini flag does NOT apply because this is not an Ithomiini record. Cata",
337,assoc_0337,literature,,"Needs-check reference audit (2026-06): Concur with 'literature' (not direct, not reject) and that this is a misfiled HELICONIINE record: Heliconius sara is a heliconiine, and Passiflora nr citrifolia is correct, expected biology for it -- NOT a passifloraceae-atypical-for-Ithomi",
339,assoc_0339,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius sara on Passiflora coriacea is canonical, correct Heliconiine biology (rule 1) and IS in scope, so the existing needs_check is wrong and must be removed — confirmed NOT needs_check. Sole support is '[Hall, p.c., 1992 (C",
346,assoc_0346,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius sara on Passiflora mucronata: correct heliconiine biology, Benson et al. 1976. Open-circle on authoritative source = literature per Rule 4. Accepted; no over-promotion to direct.",
349,assoc_0349,literature,,"Needs-check reference audit (2026-06): Heliconius sara on Passiflora = correct host. Plausible marker, Benson et al. 1976 E Brazil (real source), catalogue-relayed = literature. 'nr rhamnifolia' caps to genus-level. First-pass holds.",
353,assoc_0353,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius sara on Passiflora spinosa: canonical host, Benson et al. 1976. Open-circle on foundational source = literature. Justified at literature/medium; not direct.",
355,assoc_0355,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius sara on Passiflora suberosa (a very commonly used heliconiine host): correct biology, Benson et al. 1976. Open-circle on authoritative source = literature. Accepted at literature/medium; catalogue record, not direct.",
356,assoc_0356,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): Heliconius sara on Passiflora truncata: correct heliconiine-Passiflora biology, Benson et al. 1976. Open-circle on foundational source = literature per Rule 4. Justified; no over-promotion to direct.",
359,assoc_0359,literature,,"Needs-check reference audit (2026-06): Heterosais edessa on Cestrum (Solanaceae) is textbook Ithomiini biology. source_refs = 'Brazil: [SP, Brown & Freitas, 1994; SP, Freitas, 1996]' — two independent primary records from Sao Paulo, both real authoritative natural-history source",
363,assoc_0363,literature,,"Needs-check reference audit (2026-06): D&B 1987 cited for two countries (Brazil Rondonia + Ecuador, ssp. nephele) via Beccaloni; row 'plausible'. Heterosais on Cestrum canonical, genus-level. Catalogue-mediated, no embedded rearing text, so literature not direct. Medium holds. S",
370,assoc_0370,literature,,"Needs-check reference audit (2026-06): Solanum host for Hyalyris oulita is canonical Solanaceae; Beccaloni plausible marker (●) with Drummond & Brown 1987 (ssp. metella, Peru) as embedded primary source. Catalogue-mediated, not independently re-verified as direct rearing here, s",
372,assoc_0372,literature,,"Needs-check reference audit (2026-06): Plausible Solanum host (Beccaloni ●, Drummond & Brown 1987). 'nr variabile' is a provisional plant ID, so species-level overlay is unreliable, but family/genus association is sound and well-supported. Literature/medium correct.",
376,assoc_0376,literature,,"Needs-check reference audit (2026-06): Hypoleria lavinia on Solanum is typical Ithomiini ecology; Beccaloni plausible ● marker, Drummond & Brown 1987 (ssp. cassotis, Costa Rica). Host only to genus/section. Catalogue-grade, literature/medium holds.",
386,assoc_0386,literature,,"Needs-check reference audit (2026-06): Hypothyris euclea on Solanum is standard; Beccaloni ● with Drummond & Brown 1987 (Venezuela, ssp. euclea). Genus-level host only. Literature/medium appropriate; not direct since access is via catalogue without re-verified rearing.",
388,assoc_0388,literature,,"Needs-check reference audit (2026-06): Plausible Solanum host (Beccaloni ●, Drummond & Brown 1987, ssp. napona, Ecuador). 'nr asperum' provisional ID. Genus association robust; literature/medium correct.",
401,assoc_0401,literature,,"Needs-check reference audit (2026-06): Hypothyris lycaste on Solanum rugosum is the most typical Ithomiini-Solanaceae pairing. source_refs = 'Colombia: [Brown & Freitas, 1994 (ssp. limosa)]' — single real authoritative primary record with locality and subspecies detail. Reaches ",
405,assoc_0405,literature,,"Needs-check reference audit (2026-06): Hypothyris ninonia on Solanum is canonical; Beccaloni ●, Drummond & Brown 1987 (Brazil, ssp. neimyi). Host only to genus/section (Lepidota). Catalogue-mediated record warrants medium, not high; auditor's downgrade from worklist 'high' to me",
437,assoc_0437,literature,,"Needs-check reference audit (2026-06): True Ithomiini (Ithomia agnosia) on Physalis (Solanaceae) - typical, correct host. Beccaloni plausible marker; primary Beccaloni 1995 Ecuador (a real authoritative source), catalogue-relayed and not independently re-verified = literature, n",
463,assoc_0463,literature,,"Needs-check reference audit (2026-06): Ithomia on Aureliana (Solanaceae) is taxonomically typical. Record is a Beccaloni catalogue row (filled-circle plausible) backed only by Freitas p.c. 1990, SP Brazil; no embedded published primary. Catalogue-level literature is the correct ",
464,assoc_0464,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
465,assoc_0465,literature,,"Needs-check reference audit (2026-06): REFUTING the upgrade to direct. The stored record is a Beccaloni 2008 catalogue row; source_checked is Beccaloni, and Drummond & Brown 1987 is only an EMBEDDED primary citation that was NOT independently retrieved/verified in this audit. Pe",
492,assoc_0492,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): CONFIRM literature/low. Mechanitis lysimnia on Brunfelsia uniflora. Under the corrected rules Brunfelsia is an explicitly legitimate Solanaceae host genus, so an 'atypical-genus-within-correct-family' is no longer grounds for need",
501,assoc_0501,literature,,"Needs-check reference audit (2026-06): Verified record at host_plant_associations.json line 16030. Mechanitis lysimnia (canonical Solanaceae-feeding Ithomiini) on Lycopersicon esculentum (=tomato, Solanaceae) is family-canonical and textbook, NOT atypical; no Passifloraceae conc",
503,assoc_0503,literature,,Needs-check reference audit (2026-06): Mechanitis lysimnia on Solanum is textbook Ithomiini-Solanaceae and highly plausible. Multiple converging real primaries embedded in the catalogue (Arruda & Arruda 1971; Lima 1947; Lima 1928). These are catalogue-level citations not indepen,
505,assoc_0505,literature,,"Needs-check reference audit (2026-06): Mechanitis lysimnia on Solanum is textbook; Beccaloni ●, Drummond & Brown 1987 (Brazil, ssp. lysimnia). Genus-level only. Literature/medium holds.",
529,assoc_0529,literature,,"Needs-check reference audit (2026-06): S. paniculatum is a well-documented Mechanitis lysimnia host; Beccaloni ● with TWO independent primary citations (Silva et al. 1968 AND Drummond & Brown 1987, ssp. lysimnia, SP). Dual corroboration supports high confidence at literature lev",
537,assoc_0537,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
538,assoc_0538,literature,,Re-audit 2026-06-16 (corrected scope/captive rules): CONFIRM literature/low. Mechanitis lysimnia on Solanum tuberosum (potato). Rule 5 explicitly lists Solanum including cultivated species (S. tuberosum) as a legitimate Solanaceae host; Solanum is the canonical Mechanitis host genus,
540,assoc_0540,literature,,"Needs-check reference audit (2026-06): Verdict holds. Mechanitis lysimnia (Mechanitini) on Solanum is the canonical/prototypical ithomiine host association; family and tribe are textbook-correct, so not reject and not needs_check on biological grounds. Record is routed through B",
543,assoc_0543,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
546,assoc_0546,literature,,"Needs-check reference audit (2026-06): Upheld. Source trail 'Colombia: [Fassl, 1912 (Ovip.) (ssp. messenoides)]' via Beccaloni et al. 2008. Fassl 1912 is a real published Neotropical source and the host is the canonical Mechanitis/Ithomiini Solanum (Solanaceae); catalogue-mediat",
548,assoc_0548,literature,,"Needs-check reference audit (2026-06): Solanum subg. Leptostemonum (spiny Solanum) is the classic Mechanitis host clade; Beccaloni ●, Drummond & Brown 1987 (Ecuador, ssp. mazaeus). Genus/subgenus-level. Literature/medium holds.",
549,assoc_0549,literature,,"Needs-check reference audit (2026-06): Plausible Solanum host for M. mazaeus (Beccaloni ●, Drummond & Brown 1987, Ecuador). 'nr lancaeifolium' provisional ID limits species overlay; genus association sound. Literature/medium correct.",
554,assoc_0554,literature,,"Needs-check reference audit (2026-06): Spiny Solanum (aculeatissimum-like) is a typical Mechanitis menapis host; Beccaloni ●, Drummond & Brown 1987 (Costa Rica, ssp. saturata). 'nr' provisional ID. Literature/medium holds.",
563,assoc_0563,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
564,assoc_0564,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): CONFIRM literature/low. Mechanitis polymnia on Brunfelsia grandiflora. Same basis as assoc_0492: Brunfelsia is a legitimate Solanaceae host genus (Rule 5), the open-circle marker is 'plausible not strongly confirmed' not 'wrong' (",
565,assoc_0565,literature,,"Needs-check reference audit (2026-06): Mechanitis polymnia on Cyphomandra (Solanum s.l.) is taxonomically canonical and the row carries a real embedded primary citation (Lamas 1985), so literature-level is defensible. But I refute the medium confidence: source trail is the broad",
567,assoc_0567,literature,,"Needs-check reference audit (2026-06): Cyphomandra is nested within Solanum s.l. and is a known Mechanitis host, so plausible and typical. Record is a Beccaloni catalogue row (plausible marker) backed only by Bizarro p.c. 1997 - no embedded published primary, so cannot be direct",
571,assoc_0571,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
573,assoc_0573,literature,,"Re-audit 2026-06-16 (corrected scope/captive rules): CONFIRM literature/low and the correct refusal to promote to direct. Mechanitis polymnia on Jaltomata procumbens. Jaltomata is an explicitly legitimate Solanaceae host genus (Rule 5), so it is not grounds for needs_check on plausi",
577,assoc_0577,literature,,"Needs-check reference audit (2026-06): Mechanitis polymnia on Solanum is the canonical Ithomiini pairing. But the record is a Beccaloni catalogue row (plausible marker) backed only by Bizarro p.c. 1997 and Freitas p.c. 1997 - personal communications, no embedded published primar",
578,assoc_0578,literature,,Needs-check reference audit (2026-06): M. polymnia on Solanum is canonical; Beccaloni ● with two ssp localities (Brazil ssp. polymnia; Peru ssp. eurydice) in Drummond & Brown 1987. Genus-level only. Literature/medium holds.,
579,assoc_0579,literature,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,"Needs-check reference audit (2026-06): M. polymnia on Solanum is standard (Beccaloni ●, Drummond & Brown 1987, Ecuador, ssp. dorissides). Genus-level catalogue-mediated record; auditor's downgrade from worklist 'high' to medium is the correct conservative call. Literature/medium",beccaloni-cabi-paywall->free-pdf
580,assoc_0580,literature,,"Needs-check reference audit (2026-06): Hold literature/high. Beccaloni plausible (●) catalogue row citing D&B1987 (PA/DF/Trinidad subspecies). M. polymnia on Solanum subg. Leptostemonum is the textbook host; family Solanaceae confirmed. Genus-level only, not independently re-ver",
581,assoc_0581,literature,,"Needs-check reference audit (2026-06): Mechanitis polymnia is a classic, repeatedly-reared Solanum specialist corroborated by four independent embedded sources (Brown 1992a, Young 1977c, Lamas 1985, Barcant 1970). Catalogue-level but exceptionally well-attested; literature/high ",
584,assoc_0584,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
588,assoc_0588,literature,,"Needs-check reference audit (2026-06): Hold literature/high. Plausible (●) Beccaloni row, single embedded D&B1987 cite (Bolivia, ssp. angustifascia). Solanum fully consistent with Mechanitis. Catalogue-level not re-verified, so literature is the ceiling, not direct. Solanaceae, ",
608,assoc_0608,literature,,Needs-check reference audit (2026-06): Hold literature/high. Plausible (●) row with three concordant sources (D&B1987 + Gentry&Dyer p.c. + Haber p.c.). S. rudepannum (=S. torvum) is a confirmed Mechanitis host elsewhere (supplement: reared for M. menapis/Dircenna). Strong but th,
615,assoc_0615,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
618,assoc_0618,literature,,"Needs-check reference audit (2026-06): Hold literature/high. Plausible (●) row corroborated by D&B1987, Silva et al. 1968 (published) and Freitas p.c. Solanum host typical for Mechanitis. Multiple published cites support literature/high; not independently re-verified to rearing ",
619,assoc_0619,,https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,,beccaloni-cabi-paywall->free-pdf
620,assoc_0620,literature,,"Needs-check reference audit (2026-06): Melinaea lilis on Juanulloa (epiphytic Solanaceae) is plausible and Melinaea/Juanulloa is corroborated elsewhere in the dataset's supplement (McClure & Elias 2016, other Melinaea spp.). Accepted Beccaloni marker plus real Lamas 1985 citatio",
621,assoc_0621,literature,,"Needs-check reference audit (2026-06): Melinaea lilis on Markea (epiphytic Solanaceae) plausible; accepted marker + real Lamas 1985 citation = literature. But Markea (unlike Juanulloa) has no independent corroboration in the supplement, and the trail is broad-Neotropics catalogu",
623,assoc_0623,literature,,Needs-check reference audit (2026-06): Melinaea lilis on Markea sp. (Solanaceae) is taxonomically sound: Markea is an epiphytic Solanaceae in the Juanulloa/Trianaea/Markea clade that oligophagous Melinaea use; no Passifloraceae concern. The record reaches us through Beccaloni et,
631,assoc_0631,literature,,"Needs-check reference audit (2026-06): Melinaea marsaeus on Markea: the supplement (McClure & Elias 2016) corroborates M. marsaeus on Juanulloa, NOT Markea, so the specific Markea pairing rests only on the broad Lamas 1985 catalogue row. Accepted marker + real primary citation =",
